taxonID	scientificName	parentNameUsageID	taxonRank
T100812	Trachinotus falcatus	T100403	species
T100813	Paralepis coregonoides	T100814	species
T100815	Physiculus dalwigki	T100182	species
T100816	Globorotalia crassaformis	T100705	species
T100817	Scyliorhinus canicula	T100676	species
T100818	Myliobatis aquila	T100819	species
T100820	Globorotalia scitula	T100705	species
T100821	Thalasseus sandvicensis	T100822	species
T100823	Sphenolithus neoabies	T100824	species
T100828	Globoquadrina dehiscens	T100829	species
T100831	Acanthocybium solandri	T100832	species
T100833	Globigerinella obesa	T100650	species
T100834	Globigerinoides conglobata	T100110	species
T100835	Globigerinoides conglobatus	T100110	species
T100836	Butorides striata	T100837	species
T100838	Polyboroides typus	T100839	species
T100842	Numenius phaeopus	T100843	species
T100844	Candeina nitida	T100845	species
T100846	Globorotalia tumida	T100705	species
T100847	Calcidiscus leptoporus	T100848	species
T100853	Spermestes bicolor	T100854	species
T100855	Sphaeroidinella dehiscens	T100856	species
T100857	Helicosphaera kamptneri	T100858	species
T100861	Florisphaera profunda	T100862	species
T100863	Gypohierax angolensis	T100864	species
T100865	Globorotalia margaritae	T100705	species
T100866	Egretta garzetta	T100724	species
T100867	Zosterops senegalensis	T100868	species
T100870	Coryphaena hippurus	T100871	species
T100873	Discoaster brouweri	T100874	species
T100875	Globorotalia mayeri	T100705	species
T100876	Globorotalia inflata	T100705	species
T100877	Taeniura grabata	T100878	species
T100879	Rzehakina epigona	T100880	species
T100883	Discoaster pentaradiatus	T100874	species
T100884	Pulleniatina obliquiloculata	T100885	species
T100887	Cecropis abyssinica	T100888	species
T100890	Reticulofenestra pseudoumbilica	T100891	species
T100895	Pontosphaera multipora	T100896	species
T100899	Neogloboquadrina pachyderma	T100699	species
T100900	Tringa nebularia	T100901	species
T100902	Sphyraena barracuda	T100903	species
T100905	Awaous lateristriga	T100906	species
T100907	Motacilla aguimp	T100908	species
T100910	Coccolithus pelagicus	T100911	species
T100912	Cycloteuthis akimushkini	T100913	species
T100919	Avicennia germinans	T100920	species
T100926	Discoaster surculus	T100874	species
T100927	Cisticola erythrops	T100928	species
T100930	Cyclicargolithus floridanus	T100931	species
T100932	Vanellus spinosus	T100933	species
T100935	Discoaster variabilis	T100874	species
T100936	Thunnus obesus	T100937	species
T100938	Euthynnus alletteratus	T100939	species
T100940	Temora stylifera	T100941	species
T100945	Laguncularia racemosa	T100946	species
T100949	Lobotes surinamensis	T100950	species
T100952	Undinula vulgaris	T100953	species
T100955	Sphaeroidinellopsis paenedehiscens	T100717	species
T100956	Rhizophora racemosa	T100957	species
T100960	Conocarpus erectus	T100961	species
T100962	Fohsella peripheroronda	T100963	species
T100964	Globigerinoides triloba	T100110	species
T100965	Discoaster deflandrei	T100874	species
T100966	Orbulina bilobata	T100646	species
T100967	Neogloboquadrina humerosa	T100699	species
T100968	Sphenolithus heteromorphus	T100824	species
T100969	Stomias lampropeltis	T100022	species
T100970	Maesa lanceolata	T100971	species
T100974	Megaceryle maxima	T100975	species
T100976	Globigerinita uvula	T100557	species
T100977	Orbulina suturalis	T100646	species
T100978	Heinsia crinita	T100979	species
T100982	Ceratium massiliense	T100983	species
T100988	Sterna paradisaea	T100695	species
T100989	Trachurus trecae	T100990	species
